cliche
"¡A mí, plim!"
A base de bien
A beneficio de inventario
A bocajarro
A bombo y platillo
A bote pronto
A brazo partido
A buen recaudo
A buenas horas
A calzón quitado
A cámara lenta
A capa y espada
A cara de perro
A cara o cruz
A ciegas
A ciencia cierta
A cuentagotas
A cuerpo de rey
A cuerpo gentil
A decir verdad
A degüello
A diestro y siniestro
A donde Dios no quiso ir
A dos velas
A duras penas
A estas alturas
A estas alturas de la película
A fin de cuentas
A flor de piel
A freír espárragos
A golpe de talonario
A golpe de vista
A grito pelado
A huevo
A la buchaca
A la buena de Dios
A la chita callando
"A la cola, Pepsi cola"
A la fuerza ahorcan
A la gresca
A la pata la llana
A la sazón
A la tercera va la vencida
A la velocidad de la luz
A la virulé
A la voz de ya
A la vuelta de la esquina
A las duras y a las maduras
A las mil maravillas
A las primeras de cambio
A lo bestia
"A lo hecho, pecho"
A lo largo y ancho del país
A lo loco
"A lo tonto, a lo tonto"
A mansalva
A marchamartillo
A marchas forzadas
A más no poder
A matacaballo
A medias tintas
A medio gas
A mesa puesta
A mí no me la juegas
A mí no me tose nadie
A mí que me registren
"A mí, plin"
A nadie le amarga un dulce
A nivel de
A no más tardar
A ojo de buen cubero
"A otra cosa, mariposa"
A otro perro con ese hueso
A palo seco
A pan y agua
A partir un piñón
A paso de tortuga
A pasos agigantados
A patadas
A pedir de boca
A pelo
A pesar de los pesares
A pique de que
A plena luz del día
A por ello
A por todas
A por uvas
A porrillo
A posta
A prueba de bombas
A punta pala
A punto de caramelo
A quemarropa
A rajatabla
A ras de tierra
A regañadientes
A renglón seguido
A sabiendas
A saco
A saco Paco
A salto de mata
A sangre fría
A santo de qué
A simple vista
A su bola
A su imagen y semejanza
A sus espaldas
A tiro de piedra
A toda caña
A toda costa
A toda máquina
A toda vela
A toda velocidad
A todas luces
A todo gas
A todo trapo
A todo tren
A tomar viento
A tontas y a locas
A toro pasado
A trancas y barrancas
A troche y moche
A tumba abierta
A tutiplén
A uña de caballo
A verlas venir
A vida o muerte
A vivir que son dos días
A voleo
A vuelapluma
Abandonar el barco
Abrigar esperanzas
Abrir boca
Abrir brecha
Abrir camino
Abrir de par en par
Abrir la caja de los truenos
Abrir la caja de Pandora
Abrir la lata
Abrir la mano
Abrir la mente
Abrir la veda
Abrir los ojos
Abrir un melón
Abrir una puerta a algo
Abrir una ventana a algo
Abrumado por los acontecimientos
Aburrir a las ovejas
Aburrir hasta las piedras
Aburrirse como una ostra
Acabar como el rosario de la Aurora
Acabarse el chollo
Acariciar un plan
Acariciar una idea
Accidente fortuito
Acercarse los nubarrones
Achicar aguas
Achicharrarse de calor
Acompañar en el sentimiento
Acontecimiento pasado por agua
Acoplarse a un plan
Acordarse de la madre de alguien
Activo tóxico
Actualmente en vigor
Actuar a cara descubierta
Actuar con conocimiento de causa
Actuar de cara a la galería
Actuar en legítima defensa
Actuar entre bambalinas
Acudir al reclamo
Acusar recibo
Adelante con los faroles
Adiós muy buenas
Adolecer de pegada
Adorar al santo por la peana
Aferrarse al cargo
Afilar el colmillo
Aflojar la mosca
Agachar las orejas
Agarrarse a un clavo ardiendo
Agárrate que vienen curvas
Agenciarse algo
Agentes del orden
Agitarse en la duda
Aguantar carros y carretas
Aguantar el chaparrón
Aguantar el tipo
Aguantar el tirón
Aguar la fiesta
Ahí es nada
Ahí le duele
Ahí me las den todas
Ahogado por las deudas
Ahogar las penas en alcohol
Ahogarse en un vaso de agua
Ahuecar el ala
Airear los trapos sucios
Ajo y agua
Ajustar cuentas
Al acecho
Al agua patos
Al alcance de su mano
Al alcance de todos los bolsillos
Al borde del abismo
Al borde del precipicio
Al buen callar llaman Sancho
"Al enemigo, ni agua"
Al filo del descanso
Al fin y al cabo
Al final del camino
Al final lo barato sale caro
Al límite de sus fuerzas
Al loro
Al menos tenemos salud
Al pie de la letra
Al pie del cañón
Al rojo vivo
Al tuntún
Alborotar el gallinero
Alcanzar la gloria
Alcanzar la meta
Algo huele a podrido en Dinamarca
Alimentar esperanzas
Allanar el terreno
Alto el fuego
Alucina vecina
Alucinar en colores
Alzar el vuelo
Amanece que no es poco
Amarga derrota
Amarga victoria
Amarrar un asunto
Amasijo de hierros
Amigos de lo ajeno
Amistad inquebrantable
Amor a primera vista
Amplio abanico de posibilidades
Ancha es Castilla
Anda ya
Andando que es gerundio
Andar a la greña
Andar a la que salta
Andar con el pie cambiado
Andar con mil ojos
Andar con paños calientes
Andar metido en líos
Andarse con florituras
Andarse con ojo
Animal político
Animar el cotarro
Antesala del desastre
Antiguas pesetas
Antro de mala muerte
Anunciar a bombo y platillo
Apaga y vámonos
Apagarse la voz
Apalancarse en un sitio
Aparatoso accidente
Apechugar con
Apegado al terruño
Aplaudir con las orejas
Aplicar doble vara de medir
Aplicarse el cuento
Apoquinar dinero
Aportar su granito de arena
Apoteosis en la grada
Apoyar la jugada
Aprender la lección
Apretar el culo
Apretar las clavijas
Apretar las tuercas
Apretarse el cinturón
Apretarse los machos
Aprovechar que el Pisuerga pasa por Valladolid
Apuntar maneras
Apuntarse a un bombardeo
Apuntarse un tanto
Aquí el más tonto hace relojes
Aquí no hay quien viva
Aquí paz y después gloria
"Aquí te pillo, aquí te mato"
Arañar segundos
Arder en deseos
Arder las redes
Arder Troya
Arder Twitter
Arenas movedizas
Armado hasta los dientes
Armar barullo
Armar bronca
Armar el belén
Armar gresca
Armar la de Dios
Armar la de San Quintín
Armar la gorda
Armar la marimorena
Armar un cisco
Armar un pitote
Armar un pollo
Armar un zafarrancho
Armar un zipizape
Armar una gorda
Armar una zapatiesta
Armarse de paciencia
Armarse de valor
Armarse la de San Quintín
Armarse una gorda
Armas de grueso calibre
Arramplar con todo
Arrasar literalmente con todo
Arreando que es gerundio
Arrieros somos y en el camino nos encontraremos
Arrimar el ascua a su sardina
Arrimar el hombro
Arrimarse al sol que más calienta
Arrojar luz
Arrojar un balance
Arrugado como una pasa
Arrugársele el ombligo
Artefacto de fabricación casera
Artillería pesada
Asaltar los cielos
Asar la manteca
Asentir como un idiota
Así gana el Madrid
Así nos luce el pelo
Así se escribe la historia
Así son las cosas y así se las hemos contado
Asignatura pendiente
Asomar el hocico
Astro del fútbol
Astro rey
Asunto de estado
Asunto menor
Asunto peliagudo
Atacado de los nervios
Ataque quirúrgico
Atar cabos
Atar en corto
Atar los perros con longaniza
Atenerse a las consecuencias
Aterido de frío
Atisbar la luz al final del túnel
Auténtica marea humana
Auténtico hervidero de gente
Auténtico infierno
Avanzado estado de descomposición
Ave de mal agüero
Avecinarse tormenta
Bailar al son que le tocan
Bailar como un pato mareado
Bailar con la más fea
Bailarle el agua a alguien
Baile de cifras
Bajar a tierra
Bajar al barro
Bajar de las nubes
Bajar la bandera
Bajar la guardia
Bajar los humos
Bajarle los humos
Bajarse de las nubes
Bajarse del carro
Bajarse del pedestal
Bajarse los pantalones
Bajo cuerda
Bajo trágicas circunstancias
Balance positivo
Balón a la olla
Balón de oxígeno
Banco azul
Baño de masas
Baño de sangre
Barajar distintas posibilidades
Barrer para casa
Barrera psicológica
Batacazo bursátil
Batacazo electoral
Batalla campal
Batirse el cobre
Batirse en retirada
Bautismo de fuego
Beber como un cosaco
Beber los vientos
Belleza exquisita
Beso de Judas
Bestia negra
Blanco como la nieve
Blanco inmaculado
Blanco y en botella
Blanquear dinero negro
"Blanquear un partido, una idea"
Bocachancla
Bolsa de pobreza
Bomba inteligente
Bordar algo
Borrar del mapa
Borrón y cuenta nueva
Brillar con luz propia
Brillar por su ausencia
Brindar apoyo
Brindis al sol
Bromas aparte
Brutal paliza
Burbuja inmobiliaria
Busca interpelar al espectador
Buscar con la mirada
Buscar las cosquillas
Buscar tres pies al gato
Buscar una aguja en un pajar
Buscarse la vida
Buscarse las habichuelas
Caballo de Troya
Caballo ganador
Cabeza buque
Cabeza cuadrada
Cabeza de chorlito
Cabeza de turco
Cabeza hueca
Cabra loca
Cachondo mental
Cada dos por tres
Cada loco con su tema
Cada mochuelo a su olivo
Caer chuzos de punta
Caer como fruta madura
Caer como llovido del cielo
Caer como un jarro de agua fría
Caer cuatro gotas
Caer de pie
